p2train-0	他 们 觉 得 父 母 的 行 为 方 式 和 价 值 观 念 太 不 老 了 	18 
p2train-1528	孩 子 自 然 重 视 的 部 分 是 父 母 普 通 的 生 活 过 时 的 自 然 的 行 动 	18 
p2train-1529	这 是 我 第 二 次 给 你 们 写 信 的 	12 
p2train-1530	我 写 一 封 信 给 他 们 了 	9 
p2train-1531	吸 烟 是 一 种 毒 品 	1 
p2train-1532	所 以 我 一 直 开 夜 车 了 	9 
p2train-1533	就 不 难 会 发 现 	4 
p2train-1534	因 为 从 庙 到 山 下 的 河 川 很 远 	10 
p2train-1535	绿 色 食 品 生 产 量 的 问 题 是 不 是 很 大 的 	11 
p2train-1536	抽 烟 的 人 应 该 有 责 任 而 考 虑 周 围 的 人 	10 
p2train-1537	所 以 很 多 人 不 能 买 吃 	9 
p2train-1538	我 还 不 时 有 和 她 联 络 	5 
p2train-1539	我 们 东 方 父 母 也 应 该 向 西 方 的 父 母 亲 有 所 学 习 	17 18 
p2train-1540	甚 至 有 人 骂 我 很 自 私 的 	10 
p2train-1541	指 引 我 走 向 康 庄 的 大 道 	8 
p2train-1542	为 一 句 话 使 我 鼓 起 勇 气 	1 
p2train-1543	因 为 那 时 我 还 太 年 轻 了 	6 
p2train-1544	我 好 好 地 计 划 旅 游 的 时 间 安 排 	12 13 
p2train-1545	时 间 过 了 一 段 时 间 	1 2 
p2train-1546	那 时 候 我 的 年 龄 只 有 9 岁 了 	12 
p2train-1547	两 个 人 一 起 去 观 赏 开 花 吧 	9 
p2train-1548	因 为 她 连 呼 吸 也 困 难 	3 
p2train-1549	也 要 继 续 禁 止 的 	7 
p2train-1550	我 原 本 是 一 个 很 开 朗 的 一 个 人 	11 12 
p2train-1551	不 想 只 有 自 己 去 劳 动 	3 4 
p2train-1552	因 此 我 从 小 就 应 该 学 汉 语 	7 8 
p2train-1553	但 可 惜 是 收 费 的 	1 
p2train-1554	什 么 病 算 不 治 之 症 的 	9 
p2train-1555	而 且 更 影 响 对 非 吸 烟 者 	6 
p2train-1556	他 不 能 完 全 地 戒 烟 了 	9 
p2train-1557	对 孩 子 的 成 长 影 响 得 不 好 	9 
p2train-1558	非 绿 色 食 品 也 不 都 是 对 身 体 有 害 的 在 	16 
p2train-1559	有 很 多 科 学 家 研 制 对 身 体 无 害 性 的 化 肥 和 农 药 	14 
p2train-1560	但 对 食 品 的 质 量 可 能 会 出 现 有 些 问 题 	2 
p2train-1561	这 样 的 事 情 发 生 的 是 因 为 当 时 没 有 关 于 安 乐 死 的 明 确 的 法 律 	8 
p2train-1562	真 使 我 脸 变 红 	5 
p2train-1563	对 互 相 关 心 	1 
p2train-1564	两 代 人 之 间 应 该 有 多 多 交 流 	8 
p2train-1565	在 所 有 方 面 上 	6 
p2train-1566	要 独 立 可 没 那 么 容 易 了 	10 
p2train-1567	他 们 的 想 法 里 有 吸 烟 等 于 酷 或 者 帅 等 的 感 觉 	16 
p2train-1568	而 不 应 该 为 了 别 人 知 道 或 让 别 人 谢 我 而 做 的 	19 
p2train-1569	三 个 和 尚 的 吃 亏 就 在 于 他 们 都 想 不 靠 自 己 的 劳 动 沾 光 	5 
p2train-1570	男 女 同 班 是 对 学 生 的 学 习 进 度 是 有 所 裨 益 的 	5 
p2train-1571	要 改 变 这 个 问 题 是 一 件 非 常 难 的 一 件 事 	15 16 
p2train-1572	我 从 小 的 时 候 对 汉 字 非 常 感 兴 趣 	2 
p2train-1573	他 们 认 为 我 不 会 赶 得 上 他 们 	9 
p2train-1574	可 是 我 们 的 爸 爸 不 论 孩 子 愿 意 不 愿 意 强 迫 管 自 己 的 孩 子 	19 
p2train-1575	她 年 龄 3 8 岁 	2 3 
p2train-1576	我 们 能 谈 得 多 话 	7 
p2train-1577	年 轻 人 说 成 年 人 是 个 过 时 的 人 	9 
p2train-1578	好 像 在 世 界 上 只 有 他 一 个 人 失 败 了 似 的 失 意 	18 19 
p2train-1579	反 正 大 家 是 领 同 样 的 薪 水 	5 
p2train-1580	他 们 虽 然 即 使 没 有 参 与 许 多 的 言 教 	5 6 
p2train-1581	虽 然 不 少 做 父 母 的 在 脑 子 里 知 道 这 件 事 	9 
p2train-1582	从 精 神 上 的 角 度 来 看 	4 5 
p2train-1583	只 是 人 口 密 集 的 商 业 中 心 的 实 施 不 能 实 现 整 洁 目 的 	12 
p2train-1584	就 邀 集 了 一 位 赌 友 来 我 们 家 集 赌 	4 
p2train-1585	有 些 吸 烟 者 明 知 这 个 是 不 好 的 	9 
p2train-1586	我 认 为 使 “ 绿 色 食 品 ” 这 个 事 业 好 好 发 展 下 去 	4 
p2train-1587	人 间 不 是 一 个 机 器 	2 
p2train-1588	试 试 了 解 对 自 己 的 父 母 或 孩 子 现 在 情 况 	5 
p2train-1589	日 本 法 律 界 也 正 在 考 虑 对 安 乐 死 的 问 题 	11 
p2train-1590	交 流 得 很 困 难 	3 
p2train-1591	我 不 要 干 了 	3 
p2train-1592	我 很 着 急 了 	5 
p2train-1593	他 不 高 兴 地 回 答 ： 这 可 真 不 公 平 的 	15 
p2train-1594	所 以 无 论 在 什 么 方 面 都 会 有 发 生 环 境 污 染 	12 
p2train-1595	班 上 的 老 师 也 因 为 我 在 课 业 跟 不 上 时 	16 
p2train-1596	在 庙 里 来 到 了 另 一 个 和 尚 也 这 么 想 	4 5 6 
p2train-1597	我 受 到 他 影 响 最 大 的 	4 
p2train-1598	多 接 触 对 方 的 生 活 活 动 上 去 	11 12 
p2train-1599	我 的 最 近 生 活 很 忙 	2 
p2train-1600	他 的 子 女 们 要 求 让 法 院 同 情 他 	8 
p2train-1601	也 有 害 于 空 气 污 染 	7 8 
p2train-1602	这 时 我 认 为 应 先 自 我 捡 讨 的 应 该 是 父 母 吧 	6 
p2train-1603	满 足 全 世 界 的 人 类 的 需 求 	6 
p2train-1604	偶 尔 跟 他 们 聊 了 半 天 	7 8 
p2train-1605	科 学 还 不 没 有 解 决 农 药 引 起 的 副 作 用 问 题 	4 
p2train-1606	这 事 孩 子 的 时 候 不 知 道 了 	11 
p2train-1607	所 以 你 的 现 在 的 苦 恼 也 一 定 有 意 义 	4 
p2train-1608	我 认 为 对 于 我 们 的 生 活 中 绿 色 食 品 是 必 不 可 少 的 	11 
p2train-1609	也 有 当 过 业 余 广 告 设 计 师 	2 
p2train-1610	为 了 你 们 准 备 一 条 路 	1 2 
p2train-1611	每 件 事 都 不 如 我 意 作 好 	9 10 
p2train-1612	又 或 者 是 在 一 次 的 朋 友 的 婚 礼 或 丧 礼 上 	8 
p2train-1613	因 为 这 门 课 是 从 我 长 大 后 的 最 大 兴 趣 	7 
p2train-1614	能 够 从 失 败 中 吸 取 教 训 了 	11 
p2train-1615	才 乘 搭 芝 万 宜 轮 船 抵 达 雅 加 达 	3 
p2train-1616	但 是 我 连 小 的 礼 物 也 没 准 备 了 	13 
p2train-1617	我 真 想 回 家 了 	6 
p2train-1618	是 因 为 根 据 我 的 经 历 和 日 语 的 俗 话 	4 5 
p2train-1619	我 到 了 中 国 留 学 后 有 了 假 日 就 去 中 国 全 国 各 地 去 旅 游 	17 18 
p2train-1620	学 习 父 母 的 	5 
p2train-1621	土 地 有 能 自 己 净 化 的 能 力 	4 
p2train-1622	我 们 家 庭 充 满 了 许 多 爱 	8 9 
p2train-1623	甚 至 一 边 打 电 话 一 边 吸 烟 了 	12 
p2train-1624	我 经 历 了 对 我 来 说 很 充 实 而 艰 难 的 事 	9 
p2train-1625	一 个 苦 难 而 又 幸 福 的 童 年 的 我 	12 13 
p2train-1626	我 的 看 法 也 就 和 别 人 就 不 同 了 	10 
p2train-1627	所 以 很 多 孩 子 们 不 能 上 学 	7 
p2train-1628	我 听 到 了 这 句 话 时 	4 
p2train-1629	因 为 它 们 都 是 用 自 己 劳 动 的 报 酬 而 换 来 的 	15 
p2train-1630	在 电 脑 方 面 来 讲 	6 7 
p2train-1631	以 前 也 有 了 代 沟 	5 
p2train-1632	我 们 的 命 就 会 短 了 一 年 	8 
p2train-1633	而 为 了 自 己 的 家 庭 	1 
p2train-1634	她 们 生 活 中 最 大 的 一 部 分 是 听 流 行 歌 曲 的 	18 
p2train-1635	我 觉 得 还 是 只 要 男 女 在 一 起 长 大 	4 5 
p2train-1636	总 是 在 听 着 他 们 说 的 话 	5 
p2train-1637	而 且 电 脑 能 制 造 很 多 机 会 给 年 轻 人 们 认 识 	16 
p2train-1638	奶 奶 当 时 来 说 	1 2 
p2train-1639	虽 然 全 农 作 物 的 产 量 会 降 低 	3 
p2train-1640	老 师 是 当 时 还 年 轻 	3 
p2train-1641	松 下 电 器 公 司 最 后 成 为 那 么 名 驰 国 内 外 的 大 企 业 了 	11 12 
p2train-1642	所 以 我 索 性 地 掏 出 钱 来 交 款 了 	6 
p2train-1643	就 很 容 易 地 解 决 粮 食 问 题 	5 
p2train-1644	不 久 前 韩 国 有 一 位 明 星 因 抽 烟 得 太 多 而 得 病 死 了 	14 
p2train-1645	变 成 他 们 认 为 同 性 相 恋 没 有 什 么 问 题 	1 2 
p2train-1646	学 外 语 真 是 个 很 难 题 	7 
p2train-1647	所 以 我 们 以 应 该 研 究 “ 安 乐 死 ” 	5 
p2train-1648	还 有 我 觉 得 流 行 歌 曲 反 映 到 现 在 社 会 的 流 行 和 我 们 的 想 法 	12 
p2train-1649	我 跟 我 的 妈 妈 的 关 系 特 别 好 	4 
p2train-1650	可 是 差 不 多 没 用 了 	8 
p2train-1651	现 代 科 学 的 日 新 月 异 地 发 展 	5 
p2train-1652	记 对 我 影 响 最 大 的 一 个 人 就 是 我 的 爸 爸 	1 
p2train-1653	看 一 看 代 沟 问 题 的 出 现 的 背 景 	8 
p2train-1654	他 送 我 送 到 附 近 的 车 站 了 	11 
p2train-1655	这 样 既 对 自 己 也 不 好 对 别 人 也 不 好 	7 
p2train-1656	9 8 年 我 到 中 国 留 学 去 时 	10 
p2train-1657	我 也 是 生 活 于 这 种 环 境 中 之 一 	12 13 
p2train-1658	连 他 们 亲 近 的 朋 友 与 家 人 都 不 会 想 接 近 他 们 的 了 	20 
p2train-1659	正 在 在 上 海 复 旦 大 学 学 习 古 代 汉 语 	3 
p2train-1660	这 能 说 明 	2 
p2train-1661	因 为 父 母 的 教 导 	1 2 
p2train-1662	对 平 时 的 生 活 特 别 忙 的 人 来 说 	4 
p2train-1663	我 不 喜 欢 他 的 态 度 了 	9 
p2train-1664	但 是 我 觉 得 这 个 办 法 不 是 那 么 很 好 	14 
p2train-1665	实 际 上 流 行 歌 曲 不 会 在 你 的 怀 念 中 存 在 着 很 久 	18 
p2train-1666	其 实 只 要 家 长 与 教 育 的 方 式 正 确 的 话 	7 
p2train-1667	我 对 妈 妈 说 过 ： 为 什 么 我 的 爸 爸 常 常 不 在 家 	6 
p2train-1668	应 该 叫 犯 罪 人 	6 
p2train-1669	我 认 为 饥 饿 问 题 最 大 的 原 因 就 是 粮 食 的 分 配 不 好 	17 
p2train-1670	在 这 每 一 次 的 比 赛 中 	2 
p2train-1671	后 来 他 们 俩 开 始 了 吵 架 	8 
p2train-1672	每 一 个 主 题 里 描 写 河 流 的 不 同 阶 段 	6 
p2train-1673	老 师 是 在 上 课 的 时 候 教 育 孩 子 就 可 以 了 	3 
p2train-1674	随 科 学 的 进 步 	1 
p2train-1675	另 一 个 原 因 跟 人 类 的 对 自 己 身 体 的 看 法 有 关 系 	9 
p2train-1676	在 公 共 场 所 的 吸 烟 对 孩 子 们 的 道 德 观 念 有 不 好 的 影 响 	6 
p2train-1677	我 们 俩 争 先 恐 后 主 动 地 去 做 	8 9 
p2train-1678	以 后 者 为 大 前 提 的 父 母 者 最 担 心 的 是 子 女 因 为 某 种 课 业 以 外 的 问 题 而 荒 废 了 学 业 	11 
p2train-1679	产 生 了 “ 代 沟 ” 这 一 个 问 题 	9 
p2train-1680	终 日 沉 浸 在 虚 幻 的 世 界 时 	11 
p2train-1681	我 希 望 在 家 里 没 有 发 生 坏 事 	4 
p2train-1682	我 这 2 5 年 的 思 想 毕 竟 是 个 空 虚 的 	12 
p2train-1683	吸 烟 是 对 我 们 青 少 年 的 将 来 是 很 有 影 响 的 	3 
p2train-1684	我 特 别 紧 张 了 	6 
p2train-1685	可 是 为 了 我 们 的 生 存 环 境 地 球 	12 13 
p2train-1686	记 对 我 影 响 最 大 的 一 个 人 是 我 敬 爱 的 妈 妈 	1 
p2train-1687	我 的 心 里 一 直 有 这 自 己 的 教 训 	8 
p2train-1688	她 满 脸 通 红 了 	6 
p2train-1689	这 是 一 种 人 和 人 之 间 能 容 易 沟 通 的 一 座 桥 梁 	3 4 
p2train-1690	对 我 影 响 最 大 的 一 个 人 是 我 的 最 知 心 的 朋 友 	13 
p2train-1691	因 为 短 期 大 学 的 汉 语 课 是 一 周 就 有 两 节 课 	11 
p2train-1692	你 们 千 万 不 要 反 对 他 们 俩 的 结 婚 啊 	12 
p2train-1693	根 据 这 句 话 来 说 看 一 下 我 觉 得 那 些 “ 痴 迷 ” 于 流 行 的 学 生 中 学 习 成 绩 特 别 优 秀 的 应 了 了 无 几 	8 9 10 
p2train-1694	这 样 子 他 们 会 想 一 下 对 他 们 的 未 来 	10 
p2train-1695	我 个 人 来 说 不 大 赞 成 这 种 做 法 	4 5 
p2train-1696	从 国 度 上 来 看 也 是 一 样 的 看 法 	12 13 
p2train-1697	在 日 本 的 话 	4 5 
p2train-1698	还 有 两 个 人 可 以 去 抬 水 的 	11 
p2train-1699	所 以 吸 烟 者 应 该 要 戒 烟 	8 
p2train-1700	“ 安 乐 死 是 一 种 杀 人 罪 之 一 ” 	6 7 
p2train-1701	你 一 定 会 用 头 脑 力 去 猜 想 	8 
p2train-1702	这 个 研 讨 会 让 我 有 对 如 何 促 进 家 庭 成 员 关 系 有 进 一 步 的 了 解 	8 
p2train-1703	没 有 你 们 的 照 顾 就 没 有 现 在 的 我 了 	15 
p2train-1704	别 选 吸 烟 而 找 别 的 办 法 来 恢 复 精 神 好 	16 
p2train-1705	所 谓 “ 竞 争 时 代 ” 的 现 代 社 会 	1 2 
p2train-1706	所 以 我 打 算 准 备 写 遗 书 	6 7 
p2train-1707	人 类 也 是 一 个 自 然 的 动 物 	5 6 
p2train-1708	因 久 仰 贵 公 司 享 负 的 盛 名 	7 8 
p2train-1709	但 是 不 可 否 认 流 行 歌 曲 的 有 一 定 的 影 响 	11 
p2train-1710	能 活 还 是 只 能 死 亡 	5 6 
p2train-1711	男 女 分 班 会 阻 碍 两 性 之 间 的 学 术 交 流 和 沟 通 技 巧 	20 21 
p2train-1712	在 生 活 现 代 社 会 的 人 的 问 题 中 一 就 是 这 样 没 有 个 性 	14 
p2train-1713	可 以 通 过 听 流 行 歌 曲 	1 2 
p2train-1714	我 本 来 要 去 外 国 上 大 学 时 他 也 没 有 同 意 	2 3 
p2train-1715	学 习 方 面 你 们 千 万 不 要 担 心 吧 	13 
p2train-1716	但 我 更 喜 欢 现 在 的 歌 曲 了 	11 
p2train-1717	对 我 不 吸 烟 的 人 来 说 	2 
p2train-1718	“ 自 由 打 工 人 ” 越 来 越 来 多 	11 
p2train-1719	我 也 不 是 提 议 回 这 封 建 时 代 	8 
p2train-1720	我 将 该 公 司 的 业 务 成 绩 提 高 了 百 分 之 三 十 五 个 八 仙 率 	20 21 22 23 
p2train-1721	在 新 加 坡 时 也 学 过 了 日 语 	9 
p2train-1722	我 一 直 想 他 住 在 故 乡 里 	10 
p2train-1723	各 个 国 家 不 允 许 人 们 不 能 随 便 抽 烟 	10 11 
p2train-1724	然 后 报 纸 上 也 出 来 了 	5 
p2train-1725	我 是 你 们 的 女 儿 当 中 最 老 大 的 	11 
p2train-1726	在 商 业 中 心 人 口 是 特 别 多 	8 
p2train-1727	这 是 我 的 爱 好 和 喜 欢 的 运 动 类 	13 
p2train-1728	因 为 现 代 社 会 需 要 父 母 两 个 人 的 工 作 	14 
p2train-1729	我 这 时 才 知 道 了 他 不 是 任 性 	7 
p2train-1730	我 去 的 地 方 是 中 国 首 都 北 京 了 	13 
p2train-1731	对 一 般 来 讲 	1 
p2train-1732	我 相 信 我 男 女 混 合 式 教 育 是 很 好 的 	4 
p2train-1733	我 是 你 们 的 独 生 子 女 	8 
p2train-1734	所 以 我 希 望 在 贵 公 司 做 工 作 	10 
p2train-1735	甚 至 有 一 天 见 不 到 一 面 	3 
p2train-1736	我 母 亲 对 我 很 生 气 	4 5 
p2train-1737	以 前 给 我 们 提 供 粮 食 的 土 地 一 直 被 污 染 了 	18 
p2train-1738	现 在 四 年 级 吧 	6 
p2train-1739	所 以 不 挨 饿 是 最 重 要 的 第 一 	11 12 
p2train-1740	成 年 人 们 在 公 共 场 所 吸 烟 	4 
p2train-1741	再 说 到 “ 依 赖 性 ” 	3 
p2train-1742	现 在 在 全 世 界 饿 死 很 多 人 们 	12 
p2train-1743	只 处 理 自 己 的 事 时 时 间 都 不 够 	9 
p2train-1744	我 觉 得 科 技 会 解 决 饥 饿 的 这 个 问 题 	11 
p2train-1745	都 是 会 成 千 遍 一 律 的 	3 4 
p2train-1746	我 每 天 练 习 了 四 种 声 调 	6 
p2train-1747	文 化 以 及 到 现 在 人 们 的 生 活 	5 
p2train-1748	在 此 期 间 内 	5 
p2train-1749	在 心 理 上 的 休 息 	1 
p2train-1750	也 有 些 人 不 喜 欢 流 行 歌 曲 的 	12 
p2train-1751	天 天 浪 费 喝 水 	5 
p2train-1752	今 日 的 社 会 里 又 何 尝 不 是 这 样 的 	14 
p2train-1753	去 年 的 暑 假 时 	3 
p2train-1754	子 女 们 也 应 该 多 与 父 母 多 交 谈 	11 
p2train-1755	有 一 天 我 有 了 一 个 问 题 	6 
p2train-1756	以 使 渐 渐 解 决 代 沟 的 问 题 	2 
p2train-1757	有 的 父 母 在 吸 烟 	5 
p2train-1758	我 觉 得 我 父 母 的 思 想 比 我 太 先 进 	12 
p2train-1759	父 母 必 须 要 遵 守 交 通 规 则 	5 
p2train-1760	可 是 人 还 是 为 了 获 得 什 么 东 西 应 该 努 力 下 去 	4 5 
p2train-1761	我 希 望 在 贵 公 司 做 工 作 	8 
p2train-1762	年 轻 人 觉 得 人 生 是 自 己 满 足 的 	11 12 
p2train-1763	所 以 有 一 年 我 帮 助 老 师 的 准 备 	11 
p2train-1764	吸 烟 对 公 众 的 人 也 有 所 影 响 	6 7 
p2train-1765	她 要 求 丈 夫 或 者 家 属 人 安 乐 死 	10 
p2train-1766	我 心 上 有 很 多 感 情 	2 3 
p2train-1767	无 论 是 什 么 样 的 情 况 我 都 做 起 我 想 做 的 事 	13 
p2train-1768	发 展 健 康 关 系 就 取 决 于 对 话 与 否 和 了 解 能 力 与 否 	18 19 
p2train-1769	朋 友 如 果 遇 到 不 开 心 时 总 会 找 我 解 闷 	5 6 
p2train-1770	他 们 长 大 以 前 他 们 的 生 活 环 境 需 要 互 相 帮 助 和 协 力 	20 21 22 
p2train-1771	我 想 以 前 的 东 西 的 一 部 分 好 	8 
p2train-1772	我 高 中 的 时 候 看 过 关 于 吸 烟 对 健 康 的 影 响 有 关 的 报 告 	19 20 
p2train-1773	那 一 定 也 能 再 渡 过 多 几 十 年 的 时 间 海 	9 
p2train-1774	可 那 样 的 想 法 是 看 小 利 益 而 不 看 大 利 益 的 	18 
p2train-1775	花 人 力 比 较 多 的 “ 绿 色 食 品 ” 当 然 不 适 合 于 他 们 	19 
p2train-1776	要 教 育 孩 子 成 为 一 个 成 为 一 个 有 人 格 魅 力 的 人 比 成 为 一 个 硕 士 	10 11 12 13 
p2train-1777	不 想 了 半 天 也 想 不 出 来 	1 
p2train-1778	对 中 国 的 局 势 的 发 展 也 极 为 关 心 	4 
p2train-1779	老 师 的 发 音 也 不 好 	6 
p2train-1780	这 是 我 想 没 什 么 别 的 好 方 法 	1 2 
p2train-1781	在 我 的 国 家 的 规 定 	6 
p2train-1782	还 有 容 易 得 了 病 	6 
p2train-1783	我 可 能 在 海 滨 上 整 天 看 远 远 的 海 	7 
p2train-1784	为 了 明 亮 全 世 界 的 未 来 我 们 应 该 照 顾 饥 饿 人 口 	3 4 
p2train-1785	我 认 为 这 篇 文 章 讽 刺 人 的 依 赖 的 心 态 	14 
p2train-1786	我 相 信 这 对 于 我 接 待 各 国 侨 胞 和 贵 宾 上 	17 
p2train-1787	一 个 完 全 没 有 声 音 的 环 境 时 	12 
p2train-1788	他 会 发 给 我 们 的 一 笔 钱 	7 
p2train-1789	常 常 使 引 起 大 众 的 注 意 	3 
p2train-1790	我 们 互 相 鼓 励 互 相 	7 8 
p2train-1791	是 使 用 很 多 化 肥 和 农 药 	1 
p2train-1792	每 个 人 都 有 个 童 年 生 活 	6 
p2train-1793	但 是 他 这 么 说 的 话 	7 8 
p2train-1794	地 上 不 是 他 们 的 	2 
p2train-1795	那 时 我 下 一 大 决 心 将 来 要 孝 顺 父 母 了 	5 6 
p2train-1796	当 遇 到 什 么 困 难 	1 
p2train-1797	一 家 人 都 团 结 的 时 候 要 不 是 是 吃 饭 时 	13 
p2train-1798	怪 不 得 这 种 人 往 往 成 为 生 活 的 强 者 	1 2 3 
p2train-1799	现 在 值 得 一 提 淡 的 是 农 药 本 身 毒 害 没 有 以 前 那 么 恐 怖 	7 
p2train-1800	我 还 是 学 美 术 的 	7 
p2train-1801	男 女 分 开 是 还 是 不 好 的 	6 7 
p2train-1802	所 以 记 得 我 小 时 候 她 每 天 做 什 么 事 情 都 跟 我 一 起 做 	1 2 
p2train-1803	我 打 算 利 用 假 期 要 去 南 方 旅 游 	8 
p2train-1804	常 常 说 唠 叨 	3 
p2train-1805	往 后 家 庭 的 和 谐 建 构 就 建 基 于 此 	11 
p2train-1806	我 现 年 年 方 二 十 一 岁 	4 5 
p2train-1807	我 觉 得 你 们 应 该 注 意 身 体 健 康 	12 13 
p2train-1808	没 有 水 喝 就 不 能 洗 脸 	4 
p2train-1809	以 后 不 再 像 我 这 一 代 的 童 年 那 么 多 的 辛 酸 痛 苦 	10 
p2train-1810	所 以 我 这 一 个 的 改 变 令 他 们 感 到 开 心 	7 
p2train-1811	听 你 心 里 上 的 话 	5 
p2train-1812	不 过 真 意 料 不 到 的 是 	3 
p2train-1813	应 该 让 老 人 家 跟 我 们 同 住 在 一 起 	10 
p2train-1814	可 学 说 汉 语 是 并 不 是 容 易 的 事 	6 
p2train-1815	我 以 前 在 报 纸 上 看 到 吸 烟 者 比 不 吸 烟 者 的 死 亡 率 很 高 	22 
p2train-1816	那 时 候 我 的 不 知 道 该 怎 么 做 	5 
p2train-1817	讲 究 身 材 体 的 人 应 该 买 “ 绿 色 食 品 ” 	5 
p2train-1818	吸 烟 这 个 坏 习 惯 会 使 吸 烟 者 连 续 而 且 增 加 吸 烟 的 数 量 	15 16 
p2train-1819	令 公 共 财 政 承 受 更 重 大 的 压 力 	9 
p2train-1820	可 我 听 这 个 消 息 特 别 高 兴 了 	12 
p2train-1821	为 了 治 病 所 需 要 的 费 用 也 不 少 	1 2 
p2train-1822	可 是 我 现 在 才 能 理 解 你 们 为 什 么 在 我 的 眼 里 显 出 那 样 的 	1 2 
p2train-1823	我 认 为 这 个 两 种 不 应 该 放 在 一 起 	5 
p2train-1824	之 因 为 我 们 的 时 间 不 多 	1 
p2train-1825	我 刚 到 韩 国 时 不 好 意 思 不 会 说 韩 国 语 	8 9 10 11 
p2train-1826	当 然 他 的 公 司 的 产 品 受 到 了 老 百 姓 的 欢 迎 	4 
p2train-1827	正 在 于 此 上 	5 
p2train-1828	一 边 看 电 视 一 边 吸 烟 了 	10 
p2train-1829	她 的 父 母 为 了 专 门 她 的 教 育 	7 8 
p2train-1830	我 当 导 游 白 一 定 会 发 挥 能 力 的 	5 
p2train-1831	反 正 对 我 来 说 学 习 汉 语 的 乐 比 苦 得 多 	15 
p2train-1832	我 希 望 中 国 的 各 个 民 族 的 团 结 	11 
p2train-1833	笔 者 则 对 此 男 女 分 班 颇 有 些 看 法 	5 
p2train-1834	六 月 的 有 一 天 	4 
p2train-1835	最 近 在 我 们 日 本 出 现 了 青 少 年 引 起 犯 罪 的 问 题 	14 15 
p2train-1836	可 是 现 在 环 保 问 题 更 重 要 的 	12 
p2train-1837	它 是 没 有 受 到 化 学 污 染 	2 
p2train-1838	通 过 这 样 的 办 法 来 我 可 以 比 较 容 易 地 	8 
p2train-1839	从 中 学 开 始 我 就 一 直 在 担 任 我 的 班 的 财 务 主 任 	14 
p2train-1840	不 仅 是 现 在 而 产 生 的 	6 
p2train-1841	因 为 北 京 也 离 我 们 那 儿 很 远 	5 
p2train-1842	来 了 一 个 小 偷 你 们 俩 怎 么 办 	2 
p2train-1843	也 迷 于 歌 星 	3 
p2train-1844	总 是 找 他 来 解 决 的 	8 
p2train-1845	这 将 使 挨 饿 的 问 题 也 能 解 决 好 的 	14 
p2train-1846	或 是 简 陋 的 小 车 站 	1 2 
p2train-1847	并 且 父 母 不 应 强 迫 孩 子 的 话 “ 代 沟 ” 问 题 可 以 解 决 	6 
p2train-1848	当 然 “ 绿 色 食 品 ” 是 也 不 例 外 	9 
p2train-1849	上 一 辈 子 常 常 对 下 一 辈 说 今 天 的 晚 辈 非 常 不 听 话 	4 
p2train-1850	在 这 里 变 黑 指 的 是 当 运 动 时 吸 烟 者 的 肺 会 受 不 了 了 	22 
p2train-1851	相 互 帮 助 地 较 难 	5 
p2train-1852	最 近 以 来 	3 4 
p2train-1853	旅 游 公 司 里 工 作 专 门 是 导 游 	8 9 
p2train-1854	做 为 对 社 会 有 用 的 人 	2 
p2train-1855	由 于 父 母 们 在 自 己 的 工 作 都 很 忙 	6 
p2train-1856	首 先 说 我 家 人 怎 么 对 待 这 个 代 沟 东 西 	15 16 
p2train-1857	但 据 说 其 它 一 些 西 方 国 家 允 许 播 送 烟 的 广 告 	15 
p2train-1858	其 次 我 谈 一 下 吸 烟 对 周 围 人 即 公 众 造 成 的 危 害 性 	21 
p2train-1859	发 展 中 国 家 也 在 渐 渐 地 证 实 了 这 个 事 实 	7 
p2train-1860	而 且 有 的 人 不 吸 烟 	1 2 
p2train-1861	人 们 对 流 行 歌 曲 的 想 法 可 以 分 成 为 三 种 想 法 	18 19 
p2train-1862	用 自 然 之 声 取 代 噪 声 是 不 是 很 好 的 方 法 	10 
p2train-1863	因 为 第 一 个 和 尚 弄 挑 水 喝 	8 
p2train-1864	每 逢 到 假 期 	3 
p2train-1865	了 解 下 	3 
p2train-1866	可 是 现 代 生 活 上 不 能 离 开 它 了 	7 
p2train-1867	假 如 失 去 生 命 的 缘 故 是 从 内 在 的 	11 
p2train-1868	我 曾 在 报 纸 上 登 过 了 我 的 体 会 手 记 	9 
p2train-1869	我 的 意 思 是 救 不 了 生 命 的 话 	9 
p2train-1870	有 时 间 都 应 该 想 一 想 挨 饿 的 人 的 痛 苦 和 绝 望 	4 
p2train-1871	而 是 将 整 个 世 界 一 起 重 视 饥 饿 问 题 	3 
p2train-1872	一 踏 出 校 门 出 	6 
p2train-1873	去 年 我 在 南 京 师 大 学 学 习 汉 语 	10 
p2train-1874	在 别 的 场 合 上 也 能 看 到 的 	6 
p2train-1875	孩 子 也 就 会 从 每 天 生 活 中 听 到 的 音 乐 中 培 养 欣 赏 音 乐 的 才 能 	11 
p2train-1876	中 文 只 能 在 晚 间 课 余 在 家 里 自 习 	5 
p2train-1877	我 来 中 国 以 后 可 以 了 解 了 很 多 事 情 	11 
p2train-1878	听 了 流 行 的 歌 曲 	2 
p2train-1879	禁 烟 的 公 共 场 所 一 年 比 一 年 的 多 	13 
p2train-1880	我 在 他 的 指 导 下 从 事 了 工 作 	10 
p2train-1881	在 中 国 一 盒 了 “ 中 南 海 ” 的 价 钱 是 五 元 人 民 币 	6 
p2train-1882	就 是 不 会 去 主 动 去 听 流 行 歌 曲 	5 
p2train-1883	你 们 生 了 一 女 一 男 的 	9 
